crop,yield_t_ha
watermelon,18.278617710583152
rice,14.937045631719212
apple,7.846851300634141
coconut,12.850622625090194
watermelon,16.097060858262928
banana,16.555629587977478
mango,13.326362429731418
coffee,10.376787690251998
jute,10.229989096561162
cotton,12.238636437352016
rice,16.904739927078047
watermelon,16.242412559300757
banana,11.296237278772812
coconut,7.117692747935574
coconut,16.7760766813862
jute,12.588402703664176
grapes,17.88805354804288
mango,8.498890147225367
lentil,13.907691289257915
coconut,10.045507755340942
coconut,17.49458095100239
mango,14.55010236099476
cotton,12.470786516853934
apple,11.718260141198996
grapes,12.169138752982173
coconut,14.50031091674567
mango,12.375848416289593
cotton,9.66499484004128
coffee,14.273759890670338
mango,11.527776184192914
watermelon,16.262337938756815
apple,17.29462485976443
jute,8.91818156502367
orange,18.51459515811421
cotton,12.869335503119066
maize,11.906369939143836
jute,9.386630171237142
coconut,3.772622478386167
cotton,11.835131937657527
maize,18.435384600394297
apple,18.023622676606937
muskmelon,16.735050744788854
coconut,10.236207785511729
apple,13.885929722123038
chickpea,13.145219889637138
apple,10.477832648524297
orange,16.411694807037456
coconut,13.386756238003835
mango,14.294232273358904
orange,17.40771221160066
muskmelon,15.7685295728368
cotton,8.938018734069136
rice,13.456362390415654
banana,9.028245487364622
maize,14.183023160944238
mango,13.33270830613674
chickpea,10.225610098965362
coconut,17.28027405862794
mango,11.23986003646937
coconut,14.003189100164697
watermelon,13.469016693292582
maize,10.671263091206308
orange,16.79475765721036
banana,18.51419881416497
mango,9.392518461009423
watermelon,14.637097055763364
muskmelon,12.205355728093805
coconut,11.491762818370212
orange,14.973944580911729
muskmelon,17.33315037018126
orange,18.691790846194785
watermelon,13.176639837002911
banana,19.51075261671374
apple,10.508678163704714
muskmelon,16.842785455414393
coconut,17.164722556747286
mango,12.865179538299351
coconut,17.27226207127813
coffee,12.5947479593298
lentil,16.966193771244427
chickpea,7.948640671471787
orange,14.135083445520012
coffee,19.22182914924307
lentil,15.564393404899652
coffee,10.739691510897826
banana,16.28808325378229
chickpea,12.006342253165048
watermelon,9.831105430456338
banana,13.100559457547677
coconut,8.005416191562144
watermelon,16.19226862106729
rice,8.812424291837496
coffee,12.873696379970616
watermelon,14.041222197981376
coconut,17.59213318697402
muskmelon,10.343776369414172
rice,13.701439991756756
jute,15.246042603606885
lentil,11.00798592198433
lentil,12.250768961065868
lentil,12.594703125671783
chickpea,17.257230995037826
mango,18.03713352172377
apple,14.720126131459343
chickpea,14.233060345330795
banana,13.538568845043834
orange,5.70999900226154
muskmelon,9.607983664722472
apple,8.955436849628878
grapes,9.722651423489827
grapes,9.761030082041932
orange,6.379344812879838
grapes,11.7736129753915
chickpea,12.941942298805044
jute,10.886681681301718
grapes,12.112330783504673
mango,10.795441174252138
apple,13.691371615590596
apple,15.947209602024689
cotton,6.492367283124639
banana,11.2403148644081
mango,12.804051753489956
maize,13.363554566622286
chickpea,15.14421475720104
watermelon,8.388177008631876
coconut,13.32677031637324
orange,12.59812502776914
rice,10.671657745755976
coffee,13.033372145260511
jute,16.483353114539852
maize,18.087140608783915
cotton,14.012049720480794
grapes,15.220238095238097
banana,14.548377958322288
coffee,14.130812875854684
chickpea,13.998942503629316
lentil,15.052409461589704
cotton,8.002870136167648
mango,7.874394558987539
coconut,17.119464916083484
coffee,14.702780546716252
coffee,12.869144541068383
jute,13.75957776629512
cotton,14.239697521379664
muskmelon,12.047729941164642
chickpea,14.674326049713937
coffee,13.333309448363348
apple,15.53160622016512
muskmelon,9.635116508040696
coffee,12.15338083390102
muskmelon,11.322834015612946
lentil,14.526325773648766
lentil,8.785418584524473
cotton,14.851341857524238
banana,18.0461829586206
orange,13.914998598532808
chickpea,14.623635017582824
orange,18.63337667116399
cotton,15.2237608813085
cotton,7.447861994819919
maize,9.99929377926536
grapes,10.099380987209448
chickpea,14.964013799666905
muskmelon,14.142604713529238
maize,17.853705416047625
jute,15.234627549622692
maize,15.252342825555584
